fov,cycle,RegCh,dx,dy,regQ,status
001,901,1, -8.5,5.7,009,Pass
001,902,4, -6.4,5.7,098,Pass
002,901,1, -29.0,11.6,000,Pass
002,902,4, -27.6,11.4,099,Pass
003,901,1, -373.2,-217.7,001,Pass
003,902,4, -100.4,-100.4,009,Pass
004,901,1, 6.7,-2.3,001,Pass
004,902,4, 7.1,-5.3,098,Pass
005,901,1, 1.8,4.8,002,Pass
005,902,4, 1.6,5.4,097,Pass
006,901,1, 41.9,-47.8,004,Pass
006,902,4, 41.2,-44.5,099,Pass
007,901,1, 8.7,1.2,002,Pass
007,902,4, 8.6,-0.5,098,Pass
008,901,1, -26.3,-31.1,000,Pass
008,902,4, -26.0,-30.6,098,Pass
009,901,1, -2.7,33.9,001,Pass
009,902,4, -0.3,35.7,097,Pass
010,901,1, 1.0,-6.8,004,Pass
010,902,4, 1.4,-6.5,088,Pass
011,901,1, 0.0,0.0,-001,Fail
012,901,1, 38.9,-49.2,000,Pass
012,902,4, 39.6,-48.5,099,Pass
013,901,1, 0.0,0.0,-001,Fail
014,901,1, 17.8,1.6,002,Pass
014,902,4, 17.7,2.5,099,Pass
015,901,1, -28.6,-50.4,002,Pass
015,902,4, -28.7,-50.4,099,Pass
016,901,1, -34.5,-2.4,002,Pass
016,902,4, -35.6,-2.4,099,Pass
017,901,1, -14.9,3.7,000,Pass
017,902,4, -15.1,4.4,099,Pass
018,901,1, 0.0,0.0,-001,Fail
019,901,1, 13.6,-1.6,000,Pass
019,902,4, 12.7,-1.2,099,Pass
020,901,1, -43.5,-44.7,000,Pass
020,902,4, -43.9,-43.7,099,Pass
